	chr	source	feature	start	end	score	strand	frame	attribute	close_sites
431471	2	ensembl	gene	201141904	201141966	.	+	.	" ""RNU7-45P"""	[]
431474	2	havana	gene	201162484	201162680	.	-	.	" ""AC007283.2"""	[]
431477	2	havana	gene	201166965	201167546	.	+	.	" ""AC007283.1"""	[]
431481	2	ensembl_havana	gene	201182881	201229406	.	+	.	" ""CASP10"""	[]
431679	2	havana	gene	201212283	201213081	.	-	.	" ""MTND5P25"""	[(2, 201187332.0, 201387572.0)]
431682	2	havana	gene	201213298	201214660	.	-	.	" ""MTND4P23"""	[(2, 201187332.0, 201387572.0)]
431685	2	havana	gene	201214653	201214950	.	-	.	" ""MTND4LP13"""	[(2, 201187332.0, 201387572.0)]
431688	2	ensembl_havana	gene	201233443	201287711	.	+	.	" ""CASP8"""	[(2, 201187332.0, 201387572.0)]
431976	2	ensembl_havana	gene	201288271	201357398	.	-	.	" ""FLACC1"""	[(2, 201187332.0, 201387572.0)]
432177	2	ensembl_havana	gene	201377207	201451500	.	-	.	" ""TRAK2"""	[]
432250	2	ensembl_havana	gene	201387858	201480846	.	+	.	" ""STRADB"""	[]
432372	2	havana	gene	201410544	201413308	.	-	.	" ""AC007256.1"""	[]
432375	2	ensembl	gene	201423513	201423604	.	+	.	" ""Y_RNA"""	[]
432378	2	ensembl_havana	gene	201487421	201619178	.	-	.	" ""C2CD6"""	[]
432516	2	havana	gene	201549631	201550307	.	+	.	" ""MTCO2P16"""	[]
432519	2	havana	gene	201550524	201551049	.	+	.	" ""MTATP6P16"""	[]
432522	2	havana	gene	201552859	201553612	.	+	.	" ""MTCO3P16"""	[]
432525	2	havana	gene	201553688	201554031	.	+	.	" ""MTND3P16"""	[]
432528	2	havana	gene	201554096	201554390	.	+	.	" ""MTND4LP16"""	[]
432531	2	havana	gene	201554384	201556051	.	+	.	" ""MTND4P29"""	[]
432535	2	havana	gene	201556892	201558265	.	+	.	" ""MTND5P31"""	[]
432538	2	ensembl_havana	gene	201620184	201643570	.	-	.	" ""TMEM237"""	[]
432745	2	havana	gene	201621646	201623430	.	-	.	" ""ENO1P4"""	[]
432748	2	havana_tagene	gene	201643398	201645990	.	+	.	" ""AC007279.2"""	[]
432752	2	ensembl_havana	gene	201644870	201698694	.	-	.	" ""MPP4"""	[]
433180	2	ensembl	gene	201646716	201646820	.	+	.	" ""RNU6-651P"""	[]
433183	2	ensembl_havana	gene	201700267	201780956	.	-	.	" ""ALS2"""	[]
433417	2	havana	gene	201762737	201763573	.	+	.	" ""AC007279.1"""	[]
433420	2	ensembl_havana	gene	201790461	201895550	.	+	.	" ""CDK15"""	[]
433646	2	ensembl	gene	201808681	201808782	.	+	.	" ""Y_RNA"""	[]
433649	2	havana	gene	201824548	201824832	.	+	.	" ""UBE2V1P11"""	[]
433652	2	ensembl	gene	201927439	201927543	.	+	.	" ""RNU6-440P"""	[]
433655	2	havana	gene	202032770	202033537	.	-	.	" ""AC069148.1"""	[]
433658	2	ensembl_havana	gene	202034587	202038445	.	+	.	" ""FZD7"""	[]
433666	2	havana	gene	202073255	202205188	.	+	.	" ""KIAA2012"""	[]
433772	2	havana	gene	202075410	202117062	.	-	.	" ""KIAA2012-AS1"""	[]
433781	2	havana_tagene	gene	202137570	202149627	.	-	.	" ""AC079354.3"""	[]
433786	2	havana	gene	202178660	202179391	.	-	.	" ""AC079354.2"""	[]
433790	2	havana	gene	202179297	202179971	.	+	.	" ""PSMA2P3"""	[]
433793	2	havana	gene	202201384	202201886	.	-	.	" ""DAZAP2P1"""	[]
433796	2	ensembl_havana	gene	202206180	202238608	.	-	.	" ""SUMO1"""	[]
433941	2	havana	gene	202231696	202231849	.	+	.	" ""AC079354.1"""	[]
433944	2	ensembl_havana	gene	202265736	202303661	.	+	.	" ""NOP58"""	[]
434053	2	ensembl	gene	202276431	202276518	.	+	.	" ""SNORD70"""	[]
434056	2	ensembl	gene	202278108	202278192	.	+	.	" ""SNORD70B"""	[]
434059	2	ensembl	gene	202291332	202291421	.	+	.	" ""SNORD11B"""	[]
434062	2	ensembl	gene	202293051	202293134	.	+	.	" ""SNORD11"""	[]
434065	2	havana	gene	202302122	202303614	.	-	.	" ""AC064836.4"""	[]
434069	2	ensembl	gene	202333439	202333728	.	+	.	" ""RN7SL753P"""	[]
434072	2	havana	gene	202336024	202336727	.	-	.	" ""AC064836.1"""	[]
434075	2	havana	gene	202336739	202337200	.	+	.	" ""AC064836.2"""	[]
434078	2	ensembl	gene	202357076	202357417	.	-	.	" ""RN7SL40P"""	[]
434081	2	havana	gene	202374932	202375604	.	-	.	" ""AC064836.3"""	[]
434084	2	ensembl_havana	gene	202376327	202567751	.	+	.	" ""BMPR2"""	[]
434177	2	havana	gene	202505012	202505343	.	-	.	" ""AC073410.2"""	[]
434180	2	havana	gene	202520401	202520989	.	+	.	" ""AC073410.1"""	[]
434183	2	havana	gene	202614214	202614704	.	+	.	" ""MTCO1P17"""	[]
434186	2	havana	gene	202614853	202615529	.	+	.	" ""MTCO2P17"""	[]
434189	2	havana	gene	202615769	202616440	.	+	.	" ""MTATP6P17"""	[]
434192	2	havana	gene	202616700	202617212	.	+	.	" ""MTCO3P17"""	[]
434195	2	havana	gene	202617284	202617627	.	+	.	" ""MTND3P17"""	[]
434198	2	havana	gene	202617695	202617987	.	+	.	" ""MTND4LP17"""	[]
434201	2	havana	gene	202617983	202618881	.	+	.	" ""MTND4P30"""	[]
434204	2	havana	gene	202619185	202619896	.	-	.	" ""MTCO1P54"""	[]
434207	2	ensembl_havana	gene	202634969	202769757	.	+	.	" ""FAM117B"""	[]
434233	2	ensembl_havana	gene	202773150	202871985	.	-	.	" ""ICA1L"""	[]
434573	2	havana	gene	202773720	202774360	.	-	.	" ""AC098831.1"""	[]
434578	2	havana	gene	202840331	202841781	.	-	.	" ""KRT8P15"""	[]
434581	2	ensembl_havana	gene	202874782	203014798	.	-	.	" ""WDR12"""	[]
434642	2	ensembl_havana	gene	202912214	202988263	.	+	.	" ""CARF"""	[]
435065	2	havana	gene	202924609	202925904	.	+	.	" ""AC010900.1"""	[]
435068	2	havana	gene	202995194	202995403	.	+	.	" ""AC010900.2"""	[]
435071	2	ensembl_havana	gene	203014879	203226378	.	+	.	" ""NBEAL1"""	[]
435280	2	havana	gene	203040108	203040899	.	+	.	" ""RPL7P14"""	[]
435284	2	ensembl	gene	203052285	203052418	.	-	.	" ""AC023271.1"""	[]
435287	2	havana	gene	203061314	203062403	.	-	.	" ""AC023271.2"""	[]
435290	2	havana	gene	203074685	203075142	.	-	.	" ""RPL23AP36"""	[]
435293	2	havana	gene	203190780	203191277	.	+	.	" ""RPL12P16"""	[]
435296	2	ensembl_havana	gene	203238940	203305611	.	+	.	" ""CYP20A1"""	[]
435509	2	ensembl	gene	203259604	203259897	.	+	.	" ""RN7SL670P"""	[]
435512	2	havana	gene	203315390	203315871	.	-	.	" ""MRPL50P2"""	[]
435515	2	ensembl_havana	gene	203328239	203447728	.	+	.	" ""ABI2"""	[]
435890	2	havana	gene	203328459	203329226	.	-	.	" ""AC080075.1"""	[]
435894	2	ensembl_havana	gene	203394345	203535335	.	-	.	" ""RAPH1"""	[]
436234	2	havana	gene	203634577	203636016	.	-	.	" ""AC125238.2"""	[]
436237	2	havana	gene	203672175	203672423	.	-	.	" ""AC125238.1"""	[]
436240	2	ensembl_havana	gene	203706475	203738912	.	+	.	" ""CD28"""	[]
436276	2	havana	gene	203764295	203765593	.	-	.	" ""KRT18P39"""	[]
436279	2	havana	gene	203772631	203773502	.	-	.	" ""NPM1P33"""	[]
436282	2	ensembl	gene	203782037	203782143	.	+	.	" ""RNU6-474P"""	[]
436285	2	ensembl_havana	gene	203867771	203873965	.	+	.	" ""CTLA4"""	[]
436335	2	ensembl_havana	gene	203936748	203961577	.	+	.	" ""ICOS"""	[]
436364	2	havana	gene	204065706	204067363	.	+	.	" ""AC009965.2"""	[]
436368	2	havana	gene	204090457	204109849	.	+	.	" ""AC009965.1"""	[]
436375	2	havana	gene	204219984	204234985	.	-	.	" ""AC009498.1"""	[(2, 204190996.0, 204291236.0), (2, 204218686.0, 204418864.0), (2, 204140996.0, 204341236.0)]
436385	2	havana	gene	204306842	204307364	.	+	.	" ""DSTNP5"""	[(2, 204268686.0, 204368864.0), (2, 204218686.0, 204418864.0), (2, 204140996.0, 204341236.0)]
436388	2	havana	gene	204379095	204379792	.	+	.	" ""AC106901.1"""	[(2, 204218686.0, 204418864.0)]
436391	2	havana	gene	204470076	204473837	.	-	.	" ""AC016903.1"""	[]
436395	2	havana	gene	204473834	204507672	.	+	.	" ""AC016903.2"""	[]
436403	2	ensembl_havana	gene	204545475	205620162	.	+	.	" ""PARD3B"""	[]
436805	2	havana_tagene	gene	204668863	204678698	.	-	.	" ""AC007736.1"""	[]
436809	2	havana	gene	205253304	205253503	.	-	.	" ""AC008171.1"""	[]
436812	2	ensembl_havana	gene	205681990	205798133	.	+	.	" ""NRP2"""	[]
437075	2	havana	gene	205756469	205764006	.	-	.	" ""AC007362.1"""	[]
437134	2	ensembl	gene	205900630	205900958	.	+	.	" ""RN7SKP178"""	[]
437137	2	havana	gene	205949091	205950145	.	+	.	" ""PPIAP68"""	[]
437141	2	havana	gene	205989585	206000858	.	+	.	" ""AC007679.1"""	[]
437146	2	ensembl_havana	gene	205993721	206086303	.	-	.	" ""INO80D"""	[]
437204	2	ensembl	gene	206007880	206007974	.	-	.	" ""Vault"""	[]
437207	2	ensembl	gene	206025593	206025697	.	+	.	" ""Y_RNA"""	[]
437210	2	havana	gene	206040432	206040845	.	+	.	" ""AC007679.2"""	[]
437213	2	havana	gene	206084605	206086564	.	+	.	" ""AC007383.2"""	[]
437220	2	ensembl_havana	gene	206114817	206159509	.	-	.	" ""NDUFS1"""	[]
437542	2	havana	gene	206115547	206122323	.	+	.	" ""AC007383.3"""	[]
437546	2	havana	gene	206116110	206116500	.	-	.	" ""GCSHP3"""	[]
437549	2	ensembl_havana	gene	206159585	206162928	.	+	.	" ""EEF1B2"""	[]
437690	2	ensembl	gene	206160843	206161024	.	+	.	" ""AC007383.4"""	[]
437693	2	ensembl	gene	206161841	206161929	.	+	.	" ""snoZ196"""	[]
437696	2	ensembl	gene	206161878	206161957	.	+	.	" ""SNORD51"""	[]
437699	2	ensembl	gene	206162228	206162359	.	+	.	" ""SNORA41"""	[]
437702	2	ensembl_havana	gene	206175316	206218047	.	-	.	" ""GPR1"""	[]
437804	2	havana	gene	206203543	206265326	.	+	.	" ""GPR1-AS"""	[]
437821	2	ensembl	gene	206221315	206221634	.	+	.	" ""RN7SKP200"""	[]
437824	2	havana	gene	206236236	206236871	.	-	.	" ""AC007383.1"""	[]
437827	2	havana	gene	206259628	206259918	.	-	.	" ""HMGN1P6"""	[]
437830	2	ensembl	gene	206260066	206260214	.	-	.	" ""RN7SKP260"""	[]
437833	2	ensembl_havana	gene	206274663	206314427	.	+	.	" ""ZDBF2"""	[]
437999	2	havana	gene	206410087	206410909	.	-	.	" ""AC017081.1"""	[]
438002	2	havana	gene	206419292	206420238	.	-	.	" ""HNRNPA1P51"""	[]
438005	2	ensembl_havana	gene	206443532	206621127	.	+	.	" ""ADAM23"""	[]
438128	2	havana	gene	206606497	206609812	.	-	.	" ""AC010731.2"""	[]
438133	2	havana	gene	206640073	206641282	.	+	.	" ""AC010731.3"""	[]
438137	2	ensembl_havana	gene	206642412	206649011	.	+	.	" ""FAM237A"""	[]
438152	2	ensembl_havana	gene	206651621	206718396	.	-	.	" ""DYTN"""	[]
438199	2	havana	gene	206686517	206687362	.	-	.	" ""AC010731.1"""	[]
438202	2	ensembl	gene	206701065	206701185	.	-	.	" ""Y_RNA"""	[]
438205	2	ensembl_havana	gene	206737763	206765328	.	-	.	" ""MDH1B"""	[]
438343	2	ensembl_havana	gene	206765357	206796189	.	+	.	" ""FASTKD2"""	[(2, 206760014.0, 206960254.0)]
438454	2	mirbase	gene	206783234	206783308	.	-	.	" ""MIR3130-1"""	[(2, 206760014.0, 206960254.0)]
438457	2	mirbase	gene	206783234	206783308	.	+	.	" ""MIR3130-2"""	[(2, 206760014.0, 206960254.0)]
438460	2	havana	gene	206798325	206926876	.	+	.	" ""AC008269.1"""	[(2, 206760014.0, 206960254.0)]
438487	2	havana	gene	206821190	206822294	.	-	.	" ""AC008269.2"""	[(2, 206810014.0, 206910254.0), (2, 206760014.0, 206960254.0)]
438490	2	ensembl_havana	gene	206939518	206969474	.	+	.	" ""CPO"""	[]
438514	2	ensembl_havana	gene	207074137	207167267	.	-	.	" ""KLF7"""	[]
438624	2	mirbase	gene	207109987	207110073	.	-	.	" ""MIR2355"""	[]
438627	2	havana	gene	207120884	207122044	.	-	.	" ""KLF7-IT1"""	[]
438631	2	havana	gene	207166120	207248668	.	+	.	" ""MYOSLID"""	[]
438651	2	mirbase	gene	207166400	207166498	.	+	.	" ""MIR7845"""	[]
438654	2	havana	gene	207173634	207222790	.	+	.	" ""AC007879.1"""	[]
438661	2	havana	gene	207186717	207236066	.	-	.	" ""AC007879.3"""	[]
438671	2	havana_tagene	gene	207217532	207219145	.	+	.	" ""AC007879.5"""	[]
438675	2	havana	gene	207226949	207228308	.	+	.	" ""AC007879.2"""	[]
438679	2	havana	gene	207235299	207237875	.	-	.	" ""AC007879.4"""	[]
438683	2	havana	gene	207239864	207529795	.	-	.	" ""AC009226.1"""	[]
438700	2	havana	gene	207260445	207270690	.	+	.	" ""LINC01802"""	[]
438705	2	mirbase	gene	207269275	207269424	.	-	.	" ""MIR1302-4"""	[]
438708	2	ensembl_havana	gene	207529737	207605988	.	+	.	" ""CREB1"""	[]
438909	2	ensembl_havana	gene	207580631	207625928	.	-	.	" ""METTL21A"""	[]
439049	2	havana	gene	207654781	207654951	.	+	.	" ""RPS29P9"""	[]
439052	2	havana	gene	207662375	207667024	.	+	.	" ""LINC01857"""	[]
439056	2	ensembl	gene	207680533	207680639	.	-	.	" ""RNU6-664P"""	[]
439059	2	havana	gene	207681590	207682033	.	+	.	" ""PPP1R14BP2"""	[]
439062	2	ensembl	gene	207687960	207688059	.	+	.	" ""Y_RNA"""	[]
439065	2	ensembl_havana	gene	207711540	207761839	.	+	.	" ""CCNYL1"""	[]
439205	2	havana	gene	207753872	207754435	.	-	.	" ""AC096772.1"""	[]
439208	2	mirbase	gene	207754807	207754881	.	+	.	" ""MIR4775"""	[]
439211	2	ensembl_havana	gene	207762598	207769906	.	-	.	" ""FZD5"""	[]
439221	2	ensembl_havana	gene	207821288	208025527	.	-	.	" ""PLEKHM3"""	[]
439284	2	havana	gene	207868582	207869915	.	-	.	" ""AC083900.1"""	[]
439288	2	ensembl	gene	208019638	208019741	.	-	.	" ""RNU6-360P"""	[]
439291	2	havana	gene	208031383	208031953	.	-	.	" ""AC093698.1"""	[]
439294	2	ensembl	gene	208054161	208054258	.	-	.	" ""RNA5SP116"""	[]
439297	2	havana	gene	208057248	208057745	.	-	.	" ""RPL12P17"""	[]
439300	2	havana	gene	208108233	208112511	.	-	.	" ""CRYGEP"""	[]
439307	2	ensembl_havana	gene	208121607	208124524	.	-	.	" ""CRYGD"""	[]
439319	2	ensembl_havana	gene	208128137	208129828	.	-	.	" ""CRYGC"""	[]
439331	2	havana	gene	208135394	208137697	.	-	.	" ""AC093698.2"""	[]
439335	2	ensembl_havana	gene	208142573	208146158	.	-	.	" ""CRYGB"""	[]
439347	2	ensembl_havana	gene	208160740	208163589	.	-	.	" ""CRYGA"""	[]
439359	2	ensembl_havana	gene	208165343	208190030	.	-	.	" ""C2orf80"""	[]
439471	2	havana	gene	208208135	208208984	.	+	.	" ""RPSAP27"""	[]
439474	2	havana	gene	208214724	208222625	.	-	.	" ""TPT1P2"""	[]
439478	2	ensembl_havana	gene	208236227	208266074	.	-	.	" ""IDH1"""	[]
439606	2	havana	gene	208255247	208256181	.	+	.	" ""IDH1-AS1"""	[]
439613	2	ensembl_havana	gene	208266255	208358746	.	+	.	" ""PIKFYVE"""	[]
439907	2	havana	gene	208269343	208269957	.	-	.	" ""MYL6BP1"""	[]
439910	2	ensembl_havana	gene	208359714	208854503	.	+	.	" ""PTH2R"""	[]
439996	2	havana	gene	208360631	208361369	.	-	.	" ""AC012362.1"""	[]
439999	2	havana	gene	208466238	208466626	.	-	.	" ""AC019185.1"""	[]
440002	2	havana	gene	208469850	208540413	.	+	.	" ""AC019185.2"""	[]
440007	2	havana	gene	208516908	208517230	.	+	.	" ""AC019185.3"""	[]
440010	2	havana_tagene	gene	208885755	208888143	.	+	.	" ""AC109824.1"""	[]
440014	2	ensembl	gene	208920547	208920664	.	-	.	" ""RNA5SP117"""	[]
440017	2	havana	gene	209072597	209074148	.	-	.	" ""HSPA8P6"""	[]
440020	2	havana	gene	209145241	209147687	.	+	.	" ""CRYGFP"""	[]
440024	2	havana	gene	209178804	209182018	.	+	.	" ""MEAF6P1"""	[]
440028	2	havana	gene	209178966	209181123	.	+	.	" ""PKP4P1"""	[]
440031	2	havana	gene	209353977	209387322	.	-	.	" ""AC016743.1"""	[]
440036	2	ensembl_havana	gene	209424058	209734118	.	+	.	" ""MAP2"""	[]
440273	2	ensembl	gene	209721913	209722021	.	-	.	" ""RNA5SP118"""	[]
440276	2	ensembl_havana	gene	209771993	209999300	.	+	.	" ""UNC80"""	[]
440639	2	havana	gene	209808804	209809580	.	+	.	" ""SNAI1P1"""	[]
440642	2	ensembl_havana	gene	210002565	210022260	.	+	.	" ""RPE"""	[]
440909	2	ensembl_havana	gene	210021421	210171409	.	-	.	" ""KANSL1L"""	[]
441083	2	havana	gene	210028417	210029156	.	+	.	" ""AC007038.2"""	[]
441086	2	havana	gene	210030572	210064356	.	+	.	" ""AC007038.1"""	[]
441096	2	havana	gene	210088226	210089064	.	+	.	" ""AC006994.1"""	[]
441099	2	ensembl_havana	gene	210171518	210233976	.	+	.	" ""AC006994.2"""	[]
441112	2	ensembl_havana	gene	210187126	210225447	.	-	.	" ""ACADL"""	[]
441163	2	ensembl	gene	210265963	210266074	.	+	.	" ""Y_RNA"""	[]
441166	2	ensembl_havana	gene	210290150	210315174	.	-	.	" ""MYL1"""	[]
441219	2	havana	gene	210324759	210469246	.	+	.	" ""LANCL1-AS1"""	[]
441237	2	ensembl_havana	gene	210431249	210477652	.	-	.	" ""LANCL1"""	[]
441401	2	ensembl_havana	gene	210477682	210679107	.	+	.	" ""CPS1"""	[]
441810	2	havana	gene	210617571	210619876	.	+	.	" ""CPS1-IT1"""	[]
441813	2	havana	gene	211104934	211105732	.	+	.	" ""AC012491.1"""	[]
441816	2	havana	gene	211298941	211299189	.	-	.	" ""AC013404.1"""	[]
441819	2	ensembl_havana	gene	211375717	212538841	.	-	.	" ""ERBB4"""	[]
442081	2	ensembl	gene	211535653	211535769	.	+	.	" ""RNA5SP119"""	[]
442084	2	havana	gene	211777206	211777856	.	+	.	" ""MTND2P23"""	[]
442087	2	havana	gene	211778273	211779763	.	+	.	" ""MTCO1P46"""	[]
442090	2	mirbase	gene	212426263	212426360	.	-	.	" ""MIR548F2"""	[]
442093	2	havana	gene	212581357	213021545	.	-	.	" ""AC093865.1"""	[]
442100	2	havana	gene	212795300	212819264	.	+	.	" ""LINC01878"""	[]
442124	2	havana	gene	212832161	212832945	.	+	.	" ""PCED1CP"""	[]
442127	2	havana	gene	212911003	212919809	.	+	.	" ""AC108066.1"""	[]
442132	2	mirbase	gene	212926257	212926336	.	-	.	" ""MIR4776-2"""	[]
442135	2	mirbase	gene	212926257	212926336	.	+	.	" ""MIR4776-1"""	[]
442138	2	havana_tagene	gene	212932894	212937520	.	-	.	" ""AC108066.2"""	[]
442143	2	ensembl_havana	gene	212999691	213152427	.	-	.	" ""IKZF2"""	[]
442393	2	havana	gene	213152970	213153659	.	+	.	" ""AC079610.1"""	[]
442396	2	havana	gene	213155806	213167712	.	-	.	" ""LINC01953"""	[]
442400	2	havana	gene	213266995	213276152	.	-	.	" ""AC079610.2"""	[]
442404	2	ensembl_havana	gene	213276552	213284205	.	-	.	" ""SPAG16-DT"""	[]
442409	2	ensembl_havana	gene	213284379	214410501	.	+	.	" ""SPAG16"""	[]
442667	2	mirbase	gene	213758067	213758159	.	+	.	" ""MIR4438"""	[]
442670	2	havana	gene	214241676	214684246	.	-	.	" ""AC068051.1"""	[]
442687	2	havana	gene	214280638	214281452	.	-	.	" ""RPL5P8"""	[]
442690	2	ensembl_havana	gene	214411054	214578976	.	+	.	" ""VWC2L"""	[]
442718	2	havana	gene	214510196	214536890	.	+	.	" ""VWC2L-IT1"""	[]
442724	2	havana	gene	214697727	214698059	.	+	.	" ""ENSAP3"""	[]
442727	2	ensembl_havana	gene	214725646	214809683	.	-	.	" ""BARD1"""	[]
442964	2	havana	gene	214810181	214963575	.	+	.	" ""SNHG31"""	[]
442987	2	ensembl	gene	214846947	214847081	.	+	.	" ""SNORA70I"""	[]
442990	2	havana	gene	214847128	214847445	.	+	.	" ""RPL10P6"""	[]
442993	2	ensembl_havana	gene	214931542	215138626	.	-	.	" ""ABCA12"""	[]
443211	2	havana	gene	215004782	215085488	.	+	.	" ""AC072062.1"""	[]
443281	2	havana_tagene	gene	215178791	215310947	.	-	.	" ""AC092844.1"""	[]
443288	2	havana	gene	215274992	215277947	.	+	.	" ""AC073284.1"""	[]
443293	2	ensembl_havana	gene	215311956	215349773	.	+	.	" ""ATIC"""	[]
443503	2	ensembl_havana	gene	215360440	215436073	.	-	.	" ""FN1"""	[]
444616	2	havana	gene	215436253	215436992	.	+	.	" ""AC012462.3"""	[]
444620	2	havana	gene	215453688	215486639	.	+	.	" ""AC012462.1"""	[]
444656	2	havana	gene	215476667	215480248	.	+	.	" ""AC012462.2"""	[]
444660	2	havana	gene	215530447	215545526	.	-	.	" ""AC012668.2"""	[]
444667	2	havana	gene	215533133	215713895	.	+	.	" ""AC012668.3"""	[]
444696	2	havana	gene	215579407	215582635	.	-	.	" ""AC012668.1"""	[]
444700	2	havana	gene	215611563	215848954	.	-	.	" ""LINC00607"""	[]
444799	2	havana	gene	215718043	215719424	.	+	.	" ""LINC01614"""	[]
444803	2	havana	gene	215804731	215804981	.	-	.	" ""AC093850.1"""	[]
444806	2	havana	gene	215869923	215870518	.	+	.	" ""AC122136.1"""	[]
444810	2	havana	gene	215939308	215941719	.	-	.	" ""AC093382.1"""	[]
444814	2	ensembl_havana	gene	215942584	216034096	.	-	.	" ""MREG"""	[]
444884	2	ensembl_havana	gene	215996329	216082955	.	-	.	" ""PECR"""	[]
444961	2	ensembl_havana	gene	216081866	216102783	.	+	.	" ""TMEM169"""	[]
445028	2	ensembl_havana	gene	216107464	216206303	.	+	.	" ""XRCC5"""	[]
445195	2	havana	gene	216156342	216156811	.	-	.	" ""POLHP1"""	[]
445198	2	havana	gene	216174896	216176032	.	-	.	" ""AC012513.2"""	[]
445201	2	havana	gene	216211404	216213519	.	+	.	" ""AC012513.3"""	[]
445204	2	havana	gene	216217045	216220192	.	+	.	" ""LINC01963"""	[]
445207	2	ensembl_havana	gene	216257865	216372483	.	-	.	" ""MARCH4"""	[]
445221	2	havana	gene	216259595	216266130	.	+	.	" ""AC012513.1"""	[]
445225	2	havana	gene	216303325	216321737	.	+	.	" ""AC069155.1"""	[]
445230	2	ensembl	gene	216351403	216351504	.	+	.	" ""Y_RNA"""	[]
445233	2	havana	gene	216385288	216412696	.	-	.	" ""AC098820.2"""	[]
445240	2	ensembl_havana	gene	216412414	216483053	.	+	.	" ""SMARCAL1"""	[]
445437	2	havana	gene	216479030	216498761	.	-	.	" ""AC098820.1"""	[]
445451	2	havana	gene	216483032	216487196	.	-	.	" ""AC098820.3"""	[]
445455	2	ensembl_havana	gene	216498825	216579180	.	+	.	" ""RPL37A"""	[]
445582	2	havana	gene	216590426	216606938	.	-	.	" ""LINC01280"""	[]
445588	2	havana	gene	216594359	216611206	.	+	.	" ""AC073321.1"""	[]
445599	2	havana	gene	216610342	216610959	.	-	.	" ""PSMB3P2"""	[]
445602	2	ensembl_havana	gene	216632828	216664436	.	+	.	" ""IGFBP2"""	[]
445650	2	ensembl_havana	gene	216672105	216695549	.	-	.	" ""IGFBP5"""	[]
445674	2	havana	gene	216694464	216994079	.	+	.	" ""AC007563.2"""	[]
445684	2	havana	gene	216785774	216786144	.	-	.	" ""AC007563.3"""	[]
445687	2	ensembl	gene	216793489	216793600	.	-	.	" ""RNA5SP120"""	[]
445690	2	havana	gene	216799608	216805335	.	+	.	" ""AC007563.1"""	[]
445694	2	havana	gene	216805737	216806129	.	-	.	" ""FABP5P14"""	[]
445697	2	havana_tagene	gene	216821077	216831910	.	+	.	" ""AC007563.4"""	[]
445702	2	havana	gene	216854389	216855132	.	-	.	" ""AC007557.2"""	[]
445706	2	ensembl_havana	gene	216859458	216860064	.	-	.	" ""TNP1"""	[]
445716	2	havana	gene	216859948	216871643	.	+	.	" ""LINC01921"""	[]
445721	2	havana	gene	216866332	216867813	.	-	.	" ""AC007557.4"""	[]
445725	2	havana	gene	216868012	216869156	.	+	.	" ""AC007557.1"""	[]
445729	2	havana	gene	216870441	216873932	.	-	.	" ""AC007557.3"""	[]
445733	2	havana	gene	216995906	216996490	.	+	.	" ""AC007749.1"""	[]
445736	2	havana_tagene	gene	217061067	217064818	.	-	.	" ""AC007749.2"""	[]
445741	2	ensembl	gene	217251556	217251875	.	+	.	" ""RN7SKP43"""	[]
445744	2	havana	gene	217261699	217336120	.	+	.	" ""DIRC3-AS1"""	[]
445788	2	ensembl	gene	217283370	217283523	.	+	.	" ""AC009492.1"""	[]
445791	2	havana	gene	217284019	217756593	.	-	.	" ""DIRC3"""	[]
445858	2	havana	gene	217693895	217696763	.	+	.	" ""AC010886.1"""	[]
445861	2	havana	gene	217760547	217761291	.	-	.	" ""RPL7L1P9"""	[]
445864	2	ensembl_havana	gene	217799588	218033982	.	-	.	" ""TNS1"""	[]
446597	2	mirbase	gene	217900513	217900628	.	-	.	" ""MIR6809"""	[]
446600	2	havana	gene	217978707	217993747	.	+	.	" ""AC010136.1"""	[]
446610	2	ensembl_havana	gene	218034960	218090581	.	+	.	" ""RUFY4"""	[]
446736	2	havana	gene	218059155	218065729	.	-	.	" ""CXCR2P1"""	[]
446742	2	ensembl_havana	gene	218125289	218137251	.	+	.	" ""CXCR2"""	[]
446812	2	ensembl_havana	gene	218162841	218166962	.	-	.	" ""CXCR1"""	[]
446822	2	havana	gene	218200434	218201388	.	+	.	" ""HMGB1P9"""	[]
446826	2	ensembl_havana	gene	218217141	218254356	.	+	.	" ""ARPC2"""	[]
447013	2	havana	gene	218255319	218257366	.	+	.	" ""AC021016.2"""	[]
447016	2	ensembl_havana	gene	218259496	218263861	.	+	.	" ""GPBAR1"""	[]
447053	2	ensembl_havana	gene	218264123	218270257	.	-	.	" ""AAMP"""	[]
447195	2	ensembl_havana	gene	218270392	218346793	.	+	.	" ""PNKD"""	[]
447288	2	ensembl_havana	gene	218274197	218292586	.	-	.	" ""TMBIM1"""	[]
447630	2	mirbase	gene	218280125	218280188	.	-	.	" ""MIR6513"""	[]
447633	2	havana	gene	218326889	218357966	.	-	.	" ""CATIP-AS2"""	[]
447639	2	mirbase	gene	218341911	218341980	.	+	.	" ""MIR6810"""	[]
447642	2	havana	gene	218354075	218354572	.	+	.	" ""AC021016.1"""	[]
447645	2	ensembl_havana	gene	218356857	218368099	.	+	.	" ""CATIP"""	[]
447687	2	havana	gene	218366665	218367835	.	-	.	" ""CATIP-AS1"""	[]
447695	2	ensembl_havana	gene	218382029	218396894	.	+	.	" ""SLC11A1"""	[]
447915	2	ensembl_havana	gene	218398256	218405941	.	+	.	" ""CTDSP1"""	[]
448060	2	havana	gene	218398743	218399219	.	-	.	" ""AC021016.3"""	[]
448063	2	mirbase	gene	218402646	218402722	.	+	.	" ""MIR26B"""	[]
